"","score","text","Review"
"75",2,"RT @Reminderiz: Bhai ke fan's right now Ì†ΩÌ∏≠
#WeSupportSalmankhan 
#SalmanVerdict 
#FridayFeeling  #BlackBuckPoachingCase https://t.co/71JzdAb‚Ä¶","Happy"
"76",-2,"RT @erbmjha: I extremely condemn #SalmanVerdict Shocking decision by Jodhpur court. Listen what Tabu has to say in #BlackBuckPoachingCase Ì†æÌ∂å‚Ä¶","Sadness"
"77",0,"RT @sumanthraman: So a National channel had planned a debate on #CauveryIssue at 9 pm tonight. Cancelled now to discuss #SalmanVerdict . Ì†ΩÌ∏üÌ†ΩÌ∏ü","Surprise"
"78",0,"RT @RoflGandhi_: oh Deer! more to come #SalmanVerdict","Surprise"
"79",-1,"RT @SinghRytham: Yet again, law prevails.
No matter how hard he tried being human, he couldn't corner the ill deeds. 
Hence, we all stand e‚Ä¶","Sadness"
"80",1,"RT @arey_soni__ji: Tsunami - T is silent
Honest - H is silent
Island - I is silent
Knife - K is silent 
Salman Khan's 'Hit run' case - T is‚Ä¶","Happy"
"81",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"82",0,"RT @BollySpy: Exclusive: #ShilpaShinde Reaction On #SalmanKhan Getting Bail In #Blackbuck Case #Jodhpur #SalmanGetsBail #SalmanVerdict  @Sh‚Ä¶","Surprise"
"83",0,"RT @EktaChaurasia3: #BlackBuckPoachingCase
Let's see in how many minutes will Salman Khan get the Bail?Ì†æÌ¥î
#SalmanConvicted 
#SalmanVerdict","Surprise"
"84",0,"RT @TeamSalman: I want to raise a question : Is it JUSTICE..?? Ì†ΩÌ∏∑

#SalmanKhan #WeSupportSalmanKhan #WeLoveYouSalmanKhan #BlackBuckPaochingC‚Ä¶","Surprise"
"85",1,"RT @SalluEgyptianF: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#W‚Ä¶","Happy"
"86",1,"RT @salmanunivegypt: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankh‚Ä¶","Happy"
"87",1,"RT @StyloSajjat: Retweeted SK Universe Egypt (@salmanunivegypt):

#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalma‚Ä¶","Happy"
"88",1,"RT @salmanunivegypt: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#‚Ä¶","Happy"
"89",1,"RT @salmanunivegypt: #ŸÉŸÑŸÜÿß_ÿ≥ŸÑŸÖÿßŸÜ_ÿÆÿßŸÜ 
#IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#‚Ä¶","Happy"
"90",1,"RT @SKEgyptianFC: #IStandWithSalmanKhan I support our #goldenheart from #egypt  @BeingSalmanKhan
#WeStandBySalmanKhan
#WeSupportSalmankhan‚Ä¶","Happy"
